asn,num_http3_websites
AS13335,1283
AS15169,253
AS54113,233
AS16509,212
AS396982,120
AS209242,92
AS20940,75
AS16625,32
AS32934,13
AS2635,11
AS24429,10
AS14618,8
AS29789,5
AS43754,5
AS24940,5
AS30148,4
AS205585,4
AS397273,3
AS32475,2
AS33191,2
AS139341,2
AS204706,2
AS55532,2
AS48715,2
AS399358,2
AS19679,1
AS44386,1
AS60781,1
AS12488,1
AS32338,1
AS204720,1
AS51395,1
AS57910,1
AS399566,1
AS23724,1
AS36351,1
AS205275,1
AS132203,1
AS16276,1
AS24482,1
AS33083,1
AS22548,1
AS5602,1
AS53589,1
AS34798,1
AS398019,1
AS63949,1
AS11019,1
AS14061,1
AS41079,1
AS12876,1
AS39962,1
AS19527,1
AS49505,1
AS24768,1
AS51026,1
AS204738,1
AS54825,1
