probe_id,asn_v4
46,3320
80,3320
159,3320
277,3320
560,3320
706,3320
1212,3320
1313,3320
1326,3320
1330,3320
1350,3320
1388,3320
1497,3320
2089,3320
2097,3320
2153,3320
2170,3320
2237,3320
2303,3320
2453,3320
2468,3320
2777,3320
3068,3320
4180,3320
4260,3320
67,3209
81,3209
164,3209
910,3209
916,3209
1338,3209
2168,3209
2383,3209
2615,3209
2715,3209
2934,3209
2941,3209
3017,3209
3207,3209
3288,3209
4008,3209
4135,3209
4150,3209
4182,3209
4193,3209
4246,3209
4251,3209
4781,3209
4943,3209
10281,3209
901,8881
968,8881
975,8881
1343,8881
2478,8881
2632,8881
2662,8881
4419,8881
4580,8881
4591,8881
4718,8881
10654,8881
10678,8881
11707,8881
12038,8881
12264,8881
13002,8881
13049,8881
13086,8881
14803,8881
16506,8881
18290,8881
18470,8881
21937,8881
22115,8881
6332,24940
6693,24940
30997,24940
1000021,24940
1000201,24940
1000806,24940
1001034,24940
1001419,24940
1002423,24940
1002570,24940
1002592,24940
1003072,24940
1003422,24940
1003651,24940
1003684,24940
1004032,24940
1004773,24940
1005684,24940
1005828,24940
1006057,24940
1006185,24940
1006290,24940
1006377,24940
1006804,24940
1006977,24940
2024,6805
2430,6805
2434,6805
3150,6805
11288,6805
11729,6805
12935,6805
14369,6805
15835,6805
19869,6805
24555,6805
26320,6805
26908,6805
28752,6805
29325,6805
29384,6805
29388,6805
29444,6805
30810,6805
33936,6805
35512,6805
35570,6805
51682,6805
52597,6805
52673,6805
325,60294
1359,60294
2227,60294
10214,60294
19341,60294
24000,60294
24196,60294
25262,60294
25341,60294
28672,60294
28932,60294
29211,60294
29278,60294
31836,60294
32121,60294
33598,60294
34637,60294
52544,60294
52793,60294
53040,60294
53196,60294
53717,60294
53888,60294
54467,60294
55677,60294
6683,553
6761,553
11463,553
19810,553
19822,553
19823,553
19832,553
19834,553
19836,553
19837,553
19853,553
19884,553
21401,553
21424,553
21429,553
21436,553
21470,553
21530,553
21557,553
21576,553
22100,553
22109,553
22198,553
24037,553
50034,553
4526,8422
11176,8422
12211,8422
15809,8422
15940,8422
23994,8422
27918,8422
29405,8422
29406,8422
29753,8422
35202,8422
50603,8422
50709,8422
53187,8422
53215,8422
54125,8422
54759,8422
60417,8422
62183,8422
63095,8422
1000694,8422
1005529,8422
1008211,8422
1009944,8422
1010587,8422
1000010,31898
1000017,31898
1000720,31898
1002072,31898
1002088,31898
1002089,31898
1002282,31898
1003331,31898
1004810,31898
1004861,31898
1005585,31898
1006245,31898
1006513,31898
1006523,31898
1006524,31898
1007407,31898
1007408,31898
1008034,31898
1008802,31898
1009095,31898
1009115,31898
1009264,31898
1009826,31898
1010217,31898
1010633,31898
1485,8767
