measurement_id,resolver,domain
107070584,local,google.com
107070586,local,facebook.com
107070591,local,amazon.com
107070603,local,wikipedia.org
107070609,local,baidu.com
107070613,google,google.com
107070615,google,facebook.com
107070621,google,amazon.com
107070623,google,wikipedia.org
107070627,google,baidu.com
107070630,q9,google.com
107070631,q9,facebook.com
107070634,q9,amazon.com
107070635,q9,wikipedia.org
107070639,q9,baidu.com
107070641,cloudflare,google.com
107070643,cloudflare,facebook.com
107070645,cloudflare,amazon.com
107070647,cloudflare,wikipedia.org
107070650,cloudflare,baidu.com
